true_dept,true_priority,pred_dept,pred_priority,dept_correct,prio_correct,fast_path,rewrite_score,rewrite_reason,reasoning_score,reasoning_reason,routing_score,routing_reason
Human Resources,low,Human Resources,low,1,1,0,3,The rewrite preserves all original meaning and key details with only minor grammatical smoothing and no added assumptions or vocabulary.,2,"It cites a specific transformer confidence (99.2%) and gives a plausible rationale for HR and low priority, but provides no RAG chunk evidence or concrete priority criteria beyond generic statements.",3,"The ticket is explicitly about developing employee security awareness training for all staff (an HR-aligned request) with a rollout planned next quarter and no urgent incident, supporting both Human Resources and low priority."
Customer Service,high,Human Resources,low,0,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a plausible priority rationale, but provides no concrete ticket-based evidence for routing to Human Resources (and no RAG chunk evidence), making the justification generic.",1,"The ticket is a customer complaint about onboarding documentation and an unresponsive onboarding specialist needing follow-up, which should route to Customer Service with high priority, so both department and priority (and the reasoning) are incorrect."
Customer Service,high,Human Resources,low,0,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a generic priority rationale, but provides no concrete ticket-based evidence for routing to Human Resources (and no RAG chunk evidence) despite the issue sounding more like customer onboarding/support than HR.",1,"The ticket is a customer complaint about onboarding support and needs Customer Service with high priority due to poor experience and unresponsive specialist, so both department and priority (and the reasoning) are incorrect."
Sales and Pre-Sales,medium,Sales and Pre-Sales,low,1,0,0,3,"The rewrite preserves the original meaning and details with only a minor grammatical tweak, without adding assumptions or new terminology.",2,"The justification is plausible and aligns the ticket with Sales/Pre-Sales and low urgency, but it provides no concrete evidence such as confidence scores, retrieved RAG chunks, or explicit priority criteria beyond generic statements.",2,"The department is correctly Sales and Pre-Sales, but the priority is misclassified as low since the true priority is medium and outdated sales/security materials can materially affect customer trust and sales accuracy."
Billing and Payments,low,Billing and Payments,low,1,1,0,3,The rewrite preserves the original meaning and details with only a minor wording change and no added assumptions or injected terminology.,3,"It cites a specific transformer confidence score (99.7%) and ties the ticket’s content (general billing question for future reference, no urgency) directly to low-priority criteria and Billing & Payments routing.",3,"The ticket explicitly asks about subscription downgrade billing/credits, which fits Billing and Payments, and it’s a general future-reference question with no urgency, supporting low priority."
Returns and Exchanges,high,Sales and Pre-Sales,low,0,0,0,3,"The rewrite preserves the original meaning and key details with clean, professional wording and no added assumptions or injected vocabulary.",2,"The justification is broadly correct and aligns the inquiry with pre-sales and low urgency, but it provides no concrete evidence such as model confidence scores, retrieved knowledge chunks, or explicit priority-rule citations.",1,"The routing is incorrect because the true department is Returns and Exchanges and true priority is high, while the prediction sent it to Sales/Pre-Sales with low priority despite the mismatch."
General Inquiry,medium,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the non-essential 'General question' removed.",2,"The reasoning is broadly correct and aligns the request with General Inquiry and low urgency, but it provides no concrete evidence such as model confidence percentages, retrieved routing guidelines, or explicit priority criteria beyond generic statements.",2,"The department is correctly routed as General Inquiry for an informational link request, but the priority is misclassified as low when the true priority is medium, and the reasoning doesn’t justify why it should be low beyond noting no explicit urgency."
Technical & IT Support,medium,Service Outages and Maintenance,high,0,0,0,3,The rewrite preserves all key details and urgency with only minor punctuation changes and no added assumptions or vocabulary injection.,2,"The justification correctly ties a VPN concentrator outage impacting ~200 users with no workaround to the Service Outages/Maintenance department and high priority, but it provides no concrete evidence like model confidence scores, retrieved policy chunks, or explicit priority criteria values.",1,"The department is misrouted because a failed VPN concentrator is a core IT support/network issue (Technical & IT Support), and while the reasoning cites impact to 200 users, it does not justify the mismatch with the true department and the predicted priority differs from the true medium."
Service Outages and Maintenance,medium,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all details and meaning without adding assumptions or new terminology.",3,"It cites a specific transformer confidence (99.0%) for routing to Service Outages and Maintenance and ties the high priority directly to concrete ticket evidence (global outage, all customers affected, no workaround, platform-wide disruption).",2,"The department routing is correct and the reasoning cites the global outage/no-workaround impact, but the predicted priority is higher than the true medium priority, making it questionable despite the strong evidence."
Technical & IT Support,high,Service Outages and Maintenance,high,0,1,0,3,"The rewritten ticket is identical to the original, preserving all key details and meaning without adding assumptions or new vocabulary.",2,"The justification is broadly correct and ties the outage to the chosen department and high priority, but it provides no concrete evidence such as model confidence percentages, RAG chunk citations, or explicit priority criteria beyond generic statements.",1,"Priority is correctly high and well-supported by the widespread VPN outage affecting ~200 users with no workaround, but the department is misrouted (should be Technical & IT Support rather than Service Outages and Maintenance)."
General Inquiry,low,General Inquiry,low,1,1,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential 'General question' removed.",2,"The reasoning correctly maps an informational request to General Inquiry and low priority, but it provides no concrete evidence like model confidence scores, retrieved policy snippets, or explicit priority criteria thresholds.",3,"The ticket is a straightforward request for a link to API changelog/release notes (fits General Inquiry) and indicates no urgency or active issue, supporting low priority."
Human Resources,low,Human Resources,low,1,1,0,3,The rewrite preserves all original meaning and key details with only minor grammatical smoothing and no added assumptions or vocabulary.,3,"It cites a specific transformer confidence (99.2%) supporting HR due to employee training content and applies explicit priority criteria (informational request, no incident/urgency) to justify low priority.",3,"The ticket explicitly requests development of an employee security awareness training program for internal staff, fitting Human Resources, and the next-quarter rollout with no active incident supports a low priority."
Customer Service,high,Human Resources,low,0,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a generic priority rationale, but provides no concrete ticket-based evidence for routing to Human Resources (and no RAG chunk evidence), making the justification incomplete.",1,"The ticket is a customer onboarding complaint needing Customer Service follow-up and is urgent due to poor experience and lack of responsiveness, so routing to Human Resources with low priority is unsupported by the text."
Billing and Payments,high,Billing and Payments,low,1,0,0,3,The rewrite preserves the original meaning and details with only a minor wording change and no added assumptions or injected terminology.,3,"It cites a specific transformer confidence score (99.7%) and ties the low priority to explicit ticket evidence (general future-reference billing question with no urgency), clearly supporting both routing and priority decisions.",2,"The department is correctly routed to Billing and Payments, but the ticket is labeled high priority while the content is explicitly a general future-reference question with no urgency, making the low-priority prediction reasonable and the mismatch questionable."
Returns and Exchanges,high,Sales and Pre-Sales,low,0,0,0,3,"The rewrite preserves the original meaning and key details with clear, professional wording and no added assumptions or injected vocabulary.",2,"The justification matches the ticket’s pre-purchase informational nature and low urgency, but it provides no concrete evidence such as model confidence scores, retrieved RAG chunks, or explicit priority-rule citations.",1,"The ticket is a pre-purchase compatibility question, so routing to Returns and Exchanges and marking it high priority are both incorrect despite the reasoning aligning with Sales/low."
Human Resources,high,Human Resources,low,1,0,0,3,The rewrite preserves all original meaning and key details with only minor grammatical smoothing and no added assumptions or vocabulary.,3,"The justification cites a specific transformer confidence score (99.2%) and ties the HR routing to employee training content, while explaining low priority based on non-urgent nature and next-quarter rollout timeline.",1,"While the department is correct, the priority is wrong (should be high) and the reasoning ignores the ticket’s explicit HIPAA/security compliance implications that warrant higher urgency despite a next-quarter rollout."
Human Resources,medium,Human Resources,low,1,0,0,3,The rewrite preserves all original meaning and key details with only minor grammatical smoothing and no added assumptions or vocabulary.,3,"It cites a specific transformer confidence score (99.2%) and ties the HR routing to employee training content, while justifying low priority with concrete ticket details (informational request and rollout next quarter implying no immediate urgency).",2,"Department is correctly Human Resources for employee training, but priority should be medium given the security/HIPAA compliance implications despite the next-quarter rollout, making the low-priority rationale questionable."
Technical & IT Support,low,Service Outages and Maintenance,high,0,0,0,3,"The rewritten ticket is identical to the original, preserving all key details and meaning without adding assumptions or new vocabulary.",2,"The justification is broadly correct and ties the outage impact to the chosen department and high priority, but it provides no concrete evidence such as model confidence percentages, retrieved routing-policy chunks, or explicit priority criteria beyond generic statements.",1,"The routing is incorrect because the predicted department and priority both mismatch the true labels (Technical & IT Support, low), even though the reasoning cites the VPN outage affecting ~200 users."
Technical & IT Support,medium,Service Outages and Maintenance,high,0,0,0,3,"The rewritten ticket is identical to the original, preserving all key details and meaning without adding assumptions or new vocabulary.",2,"The justification correctly ties the VPN concentrator outage impacting ~200 users and no workaround to the chosen department and high priority, but it provides no concrete evidence such as model confidence percentages, RAG chunk citations, or explicit priority policy references.",1,"The routing is incorrect because the true department is Technical & IT Support (not Service Outages and Maintenance) and the predicted priority is high while the true priority is medium, despite the reasoning citing broad user impact."
Human Resources,low,Human Resources,low,1,1,0,3,The rewrite preserves all original meaning and details with only minor wording adjustments and no added assumptions or injected vocabulary.,3,"The justification cites a specific transformer confidence score (99.2%) and ties the ticket content (employee training on phishing/HIPAA with next-quarter rollout) to HR and to low priority based on non-urgent, future-planned work.",3,"Department and priority are correct, and the reasoning cites the ticket’s focus on employee training and a next-quarter rollout with no immediate urgency to justify low priority."
Billing and Payments,low,Billing and Payments,low,1,1,0,3,The rewrite preserves the original meaning and details with only a minor wording change and no added assumptions or injected vocabulary.,3,"It cites a specific transformer confidence score (99.7%) and ties the ticket’s content (general billing question for future reference, no urgency) directly to low-priority criteria and Billing/Payments routing.",3,"The ticket explicitly asks about subscription billing behavior when downgrading mid-cycle, which fits Billing and Payments, and it’s a non-urgent general question for future reference supporting low priority."
Billing and Payments,high,Billing and Payments,low,1,0,0,3,The rewrite preserves the original meaning and details with only a minor wording change and no added assumptions or injected terminology.,3,"It cites a specific transformer confidence score (99.7%) and ties the low priority to concrete ticket evidence (general future-reference billing question with no urgency), clearly supporting the routing decision.",2,"The department is correctly identified as Billing and Payments, but the ticket is explicitly a general question for future reference with no urgency, so labeling true priority as high makes the priority assessment questionable despite the reasoning."
General Inquiry,medium,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and request, removing only the redundant 'General question' without changing any key details.",2,"The justification is plausible and aligns with the ticket content, but it provides no concrete evidence such as model confidence scores, retrieved knowledge chunks, or explicit priority rubric references.",2,"The department is correctly General Inquiry, but the ticket’s true priority is medium while the prediction marked it low, making the priority assessment questionable despite reasonable reasoning."
Service Outages and Maintenance,medium,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all key details and wording without adding assumptions or changing meaning.",3,"It cites a specific transformer confidence value (99.0%) for routing to Service Outages and Maintenance and ties the 'high' priority directly to concrete ticket evidence (global outage, all customers affected, no workaround, platform-wide disruption).",2,"The department routing is correct and the reasoning cites the global outage and lack of workaround, but the predicted priority conflicts with the true medium priority, making it questionable."
Sales and Pre-Sales,medium,Sales and Pre-Sales,low,1,0,0,3,"The rewrite preserves the original meaning and details with only a minor grammatical tweak, keeping the wording professional and accurate.",2,"The reasoning is broadly plausible (sales materials update, low urgency) but provides no concrete evidence such as model confidence percentages, retrieved RAG chunks, or explicit priority criteria beyond generic statements.",2,"The department routing to Sales and Pre-Sales is supported by the ticket about updating sales brochures and data sheets, but priority is questionable because outdated cybersecurity and feature claims can impact customer trust and sales accuracy, aligning more with medium than low."
Billing and Payments,low,Billing and Payments,low,1,1,0,3,"The rewrite preserves the original meaning and details with only a minor wording change, remaining clear and professional without adding assumptions.",3,"It cites a specific transformer confidence (99.7%) and ties the low priority to the ticket being a general, non-urgent informational billing question, clearly supporting both routing and priority decisions.",3,"The ticket explicitly asks a general question about billing behavior when downgrading mid-cycle, fitting Billing and Payments, and it’s clearly low priority since it’s for future reference with no urgent issue."
Human Resources,medium,Human Resources,low,1,0,0,3,The rewrite preserves all key details and meaning with only minor wording adjustments and no added assumptions or injected vocabulary.,3,"It cites a specific transformer confidence (99.2%) supporting Human Resources routing and explicitly applies priority criteria (no incident/urgency, informational training request) to justify low priority.",2,"Department routing to Human Resources is correct for an employee training program, but priority should be medium given the security/HIPAA compliance scope and planned next-quarter rollout, making the 'low' urgency rationale questionable."
Technical & IT Support,medium,Service Outages and Maintenance,high,0,0,0,3,"The rewritten ticket is identical to the original, preserving all details and meaning without adding assumptions or new terminology.",2,"The justification is broadly correct and ties the outage to the chosen department and high priority, but it provides no concrete evidence such as confidence percentages, retrieved routing chunks, or explicit priority criteria beyond generic statements.",1,"The true routing is Technical & IT Support and the true priority is medium, so both the predicted department and priority are incorrect despite citing the VPN concentrator outage affecting ~200 users."
Sales and Pre-Sales,high,Sales and Pre-Sales,low,1,0,0,3,"The rewrite preserves the original meaning and details with only a minor grammatical tweak, remaining clear and professional without adding assumptions.",2,"The justification is broadly plausible and notes RAG/transformer uncertainty, but it provides no concrete evidence like confidence scores, retrieved chunk details, or explicit priority criteria beyond generic statements.",2,"The department is correctly routed to Sales and Pre-Sales based on outdated sales brochure and data sheet content, but the priority is misjudged as low despite the true high priority and the reasoning downplays potential business impact."
Service Outages and Maintenance,high,Service Outages and Maintenance,high,1,1,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",2,"The reasoning correctly ties the described global CDN outage and lack of workaround to a high-priority service outage, but it provides no concrete evidence such as a transformer confidence percentage or any RAG chunk/source details.",3,"Both department and priority are correct, and the reasoning explicitly cites the global CDN outage impacting all products and customers worldwide with no workaround as evidence for high-priority Service Outages handling."
Technical & IT Support,low,Service Outages and Maintenance,high,0,0,0,3,"The rewritten ticket is identical to the original, preserving all key details and meaning without adding assumptions or new terminology.",2,"The justification is broadly correct and aligns the outage impact to the chosen department and high priority, but it provides no concrete evidence such as confidence percentages, retrieved routing chunks, or explicit priority criteria beyond generic statements.",1,"The ticket is a major VPN outage impacting ~200 users with no workaround, so routing to Technical & IT Support and setting high priority would be appropriate, making both the predicted department and priority incorrect."
General Inquiry,low,General Inquiry,low,1,1,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential phrase ""General question"" removed.",2,"The justification matches the ticket content and gives a plausible priority rationale, but it provides no concrete evidence like model confidence scores, retrieved knowledge chunks, or explicit priority criteria thresholds.",3,"The ticket is a straightforward request for a link to API changelog/release notes (fits General Inquiry) and indicates no urgency or active issue, supporting low priority."
General Inquiry,medium,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential closing phrase removed.",2,"The justification is broadly correct and aligns with typical department/priority logic, but it provides no concrete evidence such as model confidence scores, retrieved policy chunks, or specific priority criteria citations.",2,"Department is correctly General Inquiry, but the ticket’s true priority is medium while the prediction marked it low, and the reasoning doesn’t justify why it should be lower than medium."
Returns and Exchanges,medium,Sales and Pre-Sales,low,0,0,0,3,"The rewrite preserves the original intent and key details about confirming model updates for compatibility before reordering, while removing only redundant phrasing.",2,"The justification correctly maps a pre-purchase compatibility/update question to Sales/Pre-Sales and explains low urgency, but it provides no concrete evidence like model confidence scores, retrieved knowledge chunks, or explicit priority criteria thresholds.",1,"The ticket is a pre-purchase compatibility question that fits Sales/Pre-Sales, but the provided true labels are Returns/Exchanges and medium priority, so the prediction does not match the ground truth."
General Inquiry,high,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential phrase ""General question"" removed.",2,"The reasoning correctly maps an informational link request to General Inquiry and low priority, but it provides no concrete evidence like model confidence scores, retrieved knowledge base chunks, or explicit priority rubric references.",2,"The department is correctly General Inquiry, but the priority is wrong (true is high) and the reasoning incorrectly assumes low urgency despite the customer wanting timely updates on features/deprecations."
Technical & IT Support,medium,Service Outages and Maintenance,high,0,0,0,3,The rewrite preserves all key details and urgency with only minor punctuation changes and no added assumptions or vocabulary.,2,"The justification matches the ticket’s impact and urgency but provides no concrete evidence like model confidence scores, retrieved routing-rule excerpts, or specific priority criteria citations.",1,"The predicted department and priority do not match the true labels (Technical & IT Support, medium), even though the reasoning cites the VPN outage affecting ~200 users."
General Inquiry,high,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential 'General question' removed.",2,"The justification matches the ticket content and gives a plausible priority rationale, but it provides no concrete evidence like model confidence scores, retrieved knowledge base chunks, or explicit priority criteria thresholds.",2,"The department is correctly General Inquiry, but the priority is wrong (true is high) and the reasoning incorrectly assumes low urgency despite the customer wanting timely updates on features/deprecations."
General Inquiry,medium,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential 'General question' removed.",2,"The justification matches the ticket content and gives a plausible priority rationale, but it provides no concrete evidence like model confidence scores, retrieved knowledge base chunks, or explicit priority criteria thresholds.",2,"The department is correctly General Inquiry, but the priority is misclassified as low since the true priority is medium despite the ticket being a straightforward informational request."
Human Resources,low,Human Resources,low,1,1,0,3,The rewrite preserves all original meaning and key details with only minor wording adjustments and no added assumptions or injected vocabulary.,3,"It cites a specific transformer confidence score (99.2%) supporting Human Resources for an employee training program and explicitly applies priority criteria (no incident/urgency, informational request) to justify low priority.",3,"The ticket explicitly requests development of an employee security awareness training program for all staff next quarter, which fits Human Resources and indicates low urgency since there is no active incident or immediate operational impact."
Billing and Payments,medium,Billing and Payments,low,1,0,0,3,"The rewrite preserves the original meaning and details with only a minor wording change, remaining clear and professional without adding assumptions.",3,"It cites a specific transformer confidence score (99.7%) and ties the low priority to concrete ticket evidence (general future-reference billing question with no urgency), clearly supporting both routing and priority decisions.",2,"The department routing to Billing and Payments is correct, but the priority is questionable because the true priority is medium even though the ticket is a general future-facing billing question with no stated urgency."
General Inquiry,high,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential closing phrase removed.",2,"The reasoning is broadly correct and aligns the request with General Inquiry and low priority, but it provides no concrete evidence like model confidence percentages, retrieved routing rules, or specific priority criteria beyond generic statements.",2,"The department is correctly routed as General Inquiry based on the request for a link to API changelog/release notes, but the priority is misclassified as low since the true priority is high and the reasoning cites no evidence supporting low urgency."
Service Outages and Maintenance,low,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,"It cites a specific transformer confidence score (99.0%) and ties the 'Service Outages and Maintenance' department and 'high' priority to concrete ticket facts (global CDN outage, all customers affected, no workaround, platform-wide disruption).",2,"The department routing is correct for a global CDN outage, but the predicted priority conflicts with the labeled true priority (low) despite the reasoning citing worldwide impact and no workaround."
Technical & IT Support,low,Service Outages and Maintenance,high,0,0,0,3,"The rewritten ticket is identical to the original, preserving all key details and meaning without adding assumptions or new vocabulary.",2,"The justification is broadly correct and references impact and lack of workaround, but it provides no concrete evidence such as model confidence percentages, retrieved routing chunks, or explicit priority criteria beyond generic statements.",1,"The routing is incorrect because the true department is Technical & IT Support and the true priority is low, while the prediction chose Service Outages and Maintenance with high priority despite the ticket’s details."
Sales and Pre-Sales,high,Sales and Pre-Sales,low,1,0,0,3,"The rewrite preserves all original meaning and details with only a minor grammatical tweak, remaining clear and professional.",2,"The justification is broadly plausible (sales brochures/data sheet imply Sales/Pre-Sales and low urgency) and mentions transformers/RAG in general, but it provides no concrete evidence like confidence scores, retrieved chunk details, or explicit priority criteria.",2,"The department is correctly routed to Sales and Pre-Sales based on outdated sales brochures/data sheet content, but the low priority is incorrect given the true high priority and the reasoning downplays potential customer-facing impact."
Customer Service,high,Human Resources,low,0,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a plausible priority rationale, but provides no concrete RAG evidence (e.g., retrieved chunk/department) and the justification for routing to Human Resources is generic.",1,"The ticket is clearly a Customer Service onboarding support complaint needing urgent follow-up, so routing to Human Resources and assigning low priority are both incorrect and the reasoning downplays the impact of an unresponsive onboarding specialist."
Service Outages and Maintenance,high,Service Outages and Maintenance,high,1,1,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,"It cites a specific transformer confidence value (99.0%) and directly ties the global, no-workaround CDN outage impacting all customers to business-critical unavailability criteria supporting 'Service Outages and Maintenance' and high priority.",3,"Both department and priority match the ticket’s description of a global CDN outage impacting all products worldwide with no workaround, and the reasoning cites these specific facts to justify a high-severity outage routing."
Technical & IT Support,high,Service Outages and Maintenance,high,0,1,0,3,"The rewritten ticket is identical to the original, preserving all key details and meaning without adding assumptions or new terminology.",2,"The justification is broadly sensible (VPN outage impacting ~200 users with no workaround implies Service Outages and high priority) but it provides no concrete evidence like model confidence percentages, retrieved routing chunks, or explicit priority criteria beyond generic statements.",1,"Priority is correctly high, but the department is misrouted because this is an urgent VPN infrastructure failure requiring Technical & IT Support rather than Service Outages and Maintenance."
Billing and Payments,low,Billing and Payments,low,1,1,0,3,"The rewritten ticket is identical to the original, preserving all meaning and details without adding assumptions or new terminology.",3,It cites a specific transformer confidence (99.7%) and points to concrete ticket wording ('for future reference') to justify low priority while correctly aligning the content with Billing and Payments.,3,"The ticket is explicitly a billing question about subscription downgrades and credits, fitting Billing and Payments, and it’s low priority since it’s a general inquiry “for future reference” with no urgent issue."
General Inquiry,medium,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential closing phrase removed.",2,"The justification is plausible and aligns with the ticket content, but it provides no concrete evidence such as model confidence scores, retrieved policy/KB snippets, or explicit priority criteria beyond generic statements.",2,"Department is correctly General Inquiry, but the ticket’s true priority is medium so labeling it low is questionable despite the non-urgent informational nature."
Service Outages and Maintenance,medium,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,"It cites a specific transformer confidence (99.0%) and ties the high priority to concrete ticket evidence (global outage, all customers affected, no workaround, platform-wide disruption) that matches outage priority criteria.",2,"The department routing is correct and the reasoning cites the global outage and lack of workaround, but the predicted priority conflicts with the true medium priority, making it questionable."
Sales and Pre-Sales,high,Sales and Pre-Sales,low,1,0,0,3,"The rewrite preserves the original meaning and details exactly, with only a minor grammatical tweak for professionalism.",1,"The reasoning is generic and provides no concrete evidence such as model confidence percentages, retrieved RAG chunks, or explicit priority criteria beyond vague assertions.",2,"Department routing to Sales and Pre-Sales is correct for updating brochures/data sheets, but priority is misjudged as low despite the ticket indicating customer-facing materials are inaccurate, which can have high business impact."
Service Outages and Maintenance,high,Service Outages and Maintenance,high,1,1,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,"It cites a specific transformer confidence value (99.0%) for routing to Service Outages and Maintenance and ties the 'high' priority directly to concrete ticket evidence (global outage, all customers affected, no workaround, platform-wide disruption).",3,"Both routing and priority are correct, and the reasoning cites specific ticket evidence (global CDN outage, all customers affected, static assets/scripts failing, no workaround) that justifies Service Outages and Maintenance with high priority."
Returns and Exchanges,high,Sales and Pre-Sales,low,0,0,0,3,"The rewrite preserves the original meaning and key details with clean, professional wording and no added assumptions or injected vocabulary.",2,"The justification is broadly correct for a pre-purchase compatibility question and low urgency, but it provides no concrete evidence like model confidence scores, retrieved policy/KB snippets, or explicit priority criteria thresholds.",1,"The routing is incorrect because the true labels indicate Returns and Exchanges with high priority, while the prediction sent it to Sales/Pre-Sales with low priority, so both department and priority are wrong despite the reasoning matching the ticket text."
Returns and Exchanges,low,Sales and Pre-Sales,low,0,1,0,3,"The rewrite preserves the original meaning and key details with clean, professional wording and no added assumptions or injected vocabulary.",2,"The justification is broadly correct and aligns the ticket content with Sales/Pre-Sales and low urgency, but it provides no concrete evidence such as model confidence scores, retrieved knowledge chunks, or explicit priority criteria references.",1,"The department routing is incorrect because the true department is Returns and Exchanges while the prediction sent it to Sales and Pre-Sales, even though the low priority is appropriate for an informational compatibility question."
Returns and Exchanges,medium,Sales and Pre-Sales,low,0,0,0,3,"The rewrite preserves the original meaning and key details with clean, professional wording and no added assumptions or injected vocabulary.",2,"The justification is broadly correct and aligns with the ticket content, but it provides no concrete evidence such as model confidence scores, retrieved knowledge chunks, or explicit priority criteria beyond generic statements.",1,"The ticket is a pre-purchase compatibility inquiry, so routing it to Sales and Pre-Sales with low priority is reasonable, but it does not match the provided true department (Returns and Exchanges) or true priority (medium)."
Human Resources,low,Human Resources,low,1,1,0,3,The rewrite preserves all original meaning and key details with only minor wording adjustments and no added assumptions or injected vocabulary.,2,"It cites a specific transformer confidence (99.2%) and gives a plausible rationale from the ticket text, but provides no RAG chunk evidence or concrete priority criteria beyond generic statements.",3,"The ticket explicitly requests development of an employee security awareness training program for internal staff with a next-quarter rollout, which fits Human Resources and indicates low urgency, supporting the low priority."
Human Resources,high,Human Resources,low,1,0,0,3,The rewrite preserves all original meaning and key details with only minor wording adjustments and no added assumptions or injected vocabulary.,2,"It cites a specific transformer confidence (99.2%) and gives a plausible rationale for HR and low priority, but provides no RAG chunk evidence or concrete priority criteria beyond generic statements.",1,"While the department is correctly routed to Human Resources, the priority is incorrectly set to low despite the ticket explicitly involving HIPAA compliance and organization-wide security training needed by next quarter, which warrants high priority."
Sales and Pre-Sales,low,Sales and Pre-Sales,low,1,1,0,3,"The rewrite preserves the original meaning and details with only a minor grammatical tweak, without adding assumptions or new terminology.",1,"The reasoning is generic and provides no concrete evidence such as model confidence percentages, retrieved department-specific RAG chunks, or explicit priority criteria beyond vague assertions.",3,"The ticket explicitly concerns outdated sales brochures and a cybersecurity data sheet referencing legacy capabilities, which fits Sales and Pre-Sales ownership of sales materials, and it is a non-urgent documentation refresh so low priority is appropriate."
Technical & IT Support,high,Service Outages and Maintenance,high,0,1,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",2,"The justification correctly ties the VPN concentrator outage impacting ~200 users and no workaround to the chosen department and high priority, but it provides no concrete evidence such as model confidence percentages, retrieved routing chunks, or explicit priority policy citations.",1,"Priority is correctly justified as high due to a VPN concentrator failure impacting ~200 users with no workaround, but the department is misrouted since the true department is Technical & IT Support rather than Service Outages and Maintenance."
Billing and Payments,medium,Billing and Payments,low,1,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and details without adding assumptions or new terminology.",3,It cites a specific transformer confidence (99.7%) and points to concrete ticket evidence ('for future reference' indicating low urgency) while correctly aligning the content with billing inquiries.,2,"The department routing to Billing and Payments is correct, but the priority is misclassified as low since the true priority is medium despite the ticket being a general future-reference billing question."
General Inquiry,high,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential 'General question' removed.",2,"The justification matches the ticket content and gives a plausible priority rationale, but it provides no concrete evidence like model confidence scores, retrieved policy snippets, or specific priority criteria thresholds.",1,"While the department is correct for an informational request, the predicted priority is wrong because the true priority is high, so the routing decision is not fully correct."
Returns and Exchanges,high,Sales and Pre-Sales,low,0,0,0,3,"The rewrite preserves the original meaning and key details with clean, professional wording and no added assumptions or injected vocabulary.",2,"The justification matches the ticket content but is generic and provides no concrete evidence such as model confidence scores, retrieved policy/chunk citations, or explicit priority criteria references.",1,"The ticket is a pre-purchase compatibility inquiry (fits Sales/Pre-Sales) and indicates no urgency (low priority), so the provided 'true' labels of Returns/Exchanges and high priority are not supported by the ticket."
Billing and Payments,high,Billing and Payments,low,1,0,0,3,The rewrite preserves the original meaning and details with only a minor wording change and no added assumptions or injected terminology.,3,"It cites a specific transformer confidence (99.7%) and ties the low priority to concrete ticket evidence (general future-reference billing question with no urgency), clearly supporting both routing and priority decisions.",2,"The department is correctly Billing and Payments, but the ticket is marked true high priority while the model assigned low based on it being a general future-reference question, making the priority assessment questionable despite reasonable evidence."
Human Resources,medium,Human Resources,low,1,0,0,3,The rewrite preserves all original meaning and key details with only minor grammatical smoothing and no added assumptions or vocabulary.,2,"It cites a specific transformer confidence (99.2%) and gives a plausible HR/low-priority rationale, but provides no RAG chunk evidence and the priority justification ignores the stated rollout deadline next quarter.",2,"The department routing to Human Resources is correct for an employee training program, but the ticket’s stated target rollout next quarter and compliance scope (phishing and HIPAA) suggest at least medium priority rather than low."
